id,year,,make,model,trim,vin,is_new,exterior_color,interior_color,engine_cylinders,drive_train,transmission,transmission_desc,epa_city,epa_highway,fuel_type,selling_price,mileage,description,features,car links for description
1,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 147"" LT",3GCPACEK6PG263459,TRUE,Black,,4,Rear Wheel Drive,Automatic,,19,22,Gasoline Fuel,52235,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
2,2023,,Chevrolet,Silverado 1500,"2WD Crew Cab 157"" LT",3GCPACEK7PG255354,TRUE,Summit White,,4,Rear Wheel Drive,Automatic,,19,22,Gasoline Fuel,51580,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
3,2023,,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" LT Trail Boss",3GCPDFEK3PG267607,TRUE,Summit White,,4,Four Wheel Drive,Automatic,,18,21,Gasoline Fuel,60280,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
4,2023,,Chevrolet,Silverado 1500,"4WD Crew Cab 147"" LT Trail Boss",3GCPDFEK8PG267604,TRUE,Summit White,,4,Four Wheel Drive,Automatic,,18,21,Gasoline Fuel,60280,2,,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",https://www.goschchevy.com/inventory/new-2024-chevrolet-silverado-1500-custom-rear-wheel-drive-double-cab-1gcrabek3rz117087/
5,2023,,Chevrolet,Blazer,FWD 4dr Premier,3GNKBFR40PS196916,TRUE,Sterling Gray Metallic,Jet Black,4,Front Wheel Drive,Automatic,9-Speed A/T,22,29,Gasoline Fuel,48915,2,,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers.",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
6,2023,,Chevrolet,Blazer,FWD 4dr Premier,3GNKBFR44PS218996,TRUE,Sterling Gray Metallic,Jet Black,4,Front Wheel Drive,Automatic,9-Speed A/T,22,29,Gasoline Fuel,49060,2,,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers.",https://www.goschchevy.com/inventory/new-2024-chevrolet-blazer-rs-front-wheel-drive-suv-3gnkbers6rs181297/
7,2018,,Chevrolet,Malibu,4dr Sdn LT w/1LT,1G1ZD5ST4JF145243,FALSE,Mosaic Black Metallic,Jet Black,4,Front Wheel Drive,Automatic,Automatic,27,36,Gasoline Fuel,18995,82757,"Clean CARFAX. Mosaic Black Metallic 2018 Chevrolet Malibu LT FWD 6-Speed Automatic 1.5L DOHC **CARFAX 1 OWNER **, **NAVIGATION / GPS / NAVI **, **CLEAN CARFAX**, Jet Black Cloth.27/36 City/Highway MPGAwards:* 2018 KBB.com 10 Best Sedans Under $25,000 * 2018 KBB.com 10 Most Awarded BrandsIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys.",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-malibu-lt-1G1ZD5ST0RF108041
8,2020,,Chevrolet,Bolt EV,5dr Wgn Premier,1G1FZ6S05L4119040,FALSE,Summit White,Dark Galvanized/Sky Cool Gray,,Front Wheel Drive,,Automatic,0,0,Electric Fuel System,27525,7767,"CARFAX One-Owner. Summit White 2020 Chevrolet Bolt EV Premier FWD 1-Speed Automatic Electric Drive Unit 2 USB Charging-Only Ports For Rear Passengers, Automatic Emergency Braking, Automatic temperature control, Bose Premium 7-Speaker Audio System, Driver Confidence II Package, Following Distance Indicator, Forward Collision Alert, Front Pedestrian Braking, Infotainment Package, IntelliBeam Automatic On/Off High Beam, Lane Keep Assist w/Lane Departure Warning, Preferred Equipment Group 2LZ, Premium audio system: Chevrolet MyLink, Steering wheel mounted audio controls, Wheels: 17 Ultra-Bright Machined Aluminum, Wireless Charging For Devices.Recent Arrival! 127/108 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","
Bolt EV zaps you with electrifying speed, spacious and tech-savvy interior, and eco-friendly driving, making it a zippy choice for city commutes and green adventures.",https://www.goschchevy.com/inventory/new-2023-chevrolet-bolt-ev-2lt-front-wheel-drive-hatchback-1g1fx6s08p4207530/
9,2020,,Chevrolet,Trax,FWD 4dr LS,KL7CJKSB0LB354322,FALSE,Stone Gray Metallic,Jet Black,4,Front Wheel Drive,Automatic,Automatic,26,31,Gasoline Fuel,19817,29517,"CARFAX One-Owner. Clean CARFAX. Stone Gray Metallic 2020 Chevrolet Trax LS FWD 6-Speed Automatic ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT Factory Certified, 16 Aluminum Wheels, Deep-Tinted Rear Glass Windows & Liftgate, Electronic Automatic Cruise Control, Exterior Parking Camera Rear, Front & Rear All Weather Floor Mats (LPO), Front & Rear Custom Molded Black Splash Guards (LPO), Preferred Equipment Group 1LS, Premium audio system: Chevrolet MyLink, Protection Package, Steering wheel mounted audio controls, Telescoping steering wheel, Tilt steering wheel, Tint & Cruise Package.26/31 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","
Trax zips through city streets with its peppy engine, fuel-efficient charm, and compact practicality, making it a budget-friendly urban runabout. ",https://www.goschauto.com/vehicle-details/new-2024-chevrolet-trax-activ-KL77LKE27RC168965
10,2020,,Chevrolet,Traverse,FWD 4dr LT Cloth w/1LT,1GNERGKW1LJ285559,FALSE,Mosaic Black Metallic,Jet Black,6,Front Wheel Drive,Automatic,Automatic,18,27,Gasoline Fuel,30995,50744,"CARFAX One-Owner. Clean CARFAX. Mosaic Black Metallic 2020 Chevrolet Traverse LT 1LT FWD 9-Speed Automatic 3.6L V6 SIDI VVT **CARFAX 1 OWNER **, **CLEAN CARFAX**, Apple CarPlay/Android Auto, Automatic temperature control, Front dual zone A/C, Preferred Equipment Group 1LT, Steering wheel mounted audio controls, Tilt steering wheel, Trip computer, Wheels: 18 Bright Silver Painted Aluminum.18/27 City/Highway MPGIf you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.","Trax zips through city streets with its peppy engine, fuel-efficient charm, and compact practicality, making it a budget-friendly urban runabout. ",https://www.goschauto.com/vehicle-details/new-2023-chevrolet-traverse-premier-1GNEVKKW5PJ320625
